p-th Cyclo pol,#F_q (pol factored over F_q),sparsity,ord_p(q),Factors,sparsity <= ord_p(q)?
13,3221,7,6,"[(x^6 + 1323*x^5 + 2*x^4 + 1322*x^3 + 2*x^2 + 1323*x + 1, 7), (x^6 + 1899*x^5 + 2*x^4 + 1898*x^3 + 2*x^2 + 1899*x + 1, 7)]",False
13,3299,7,6,"[(x^6 + 100*x^5 + 2*x^4 + 99*x^3 + 2*x^2 + 100*x + 1, 7), (x^6 + 3200*x^5 + 2*x^4 + 3199*x^3 + 2*x^2 + 3200*x + 1, 7)]",False
13,3319,7,6,"[(x^6 + 519*x^5 + 2*x^4 + 518*x^3 + 2*x^2 + 519*x + 1, 7), (x^6 + 2801*x^5 + 2*x^4 + 2800*x^3 + 2*x^2 + 2801*x + 1, 7)]",False
13,3371,7,6,"[(x^6 + 1217*x^5 + 2*x^4 + 1216*x^3 + 2*x^2 + 1217*x + 1, 7), (x^6 + 2155*x^5 + 2*x^4 + 2154*x^3 + 2*x^2 + 2155*x + 1, 7)]",False
13,3449,7,6,"[(x^6 + 1464*x^5 + 2*x^4 + 1463*x^3 + 2*x^2 + 1464*x + 1, 7), (x^6 + 1986*x^5 + 2*x^4 + 1985*x^3 + 2*x^2 + 1986*x + 1, 7)]",False
13,3527,7,6,"[(x^6 + 535*x^5 + 2*x^4 + 534*x^3 + 2*x^2 + 535*x + 1, 7), (x^6 + 2993*x^5 + 2*x^4 + 2992*x^3 + 2*x^2 + 2993*x + 1, 7)]",False
13,3533,7,6,"[(x^6 + 750*x^5 + 2*x^4 + 749*x^3 + 2*x^2 + 750*x + 1, 7), (x^6 + 2784*x^5 + 2*x^4 + 2783*x^3 + 2*x^2 + 2784*x + 1, 7)]",False
13,3559,7,6,"[(x^6 + 1657*x^5 + 2*x^4 + 1656*x^3 + 2*x^2 + 1657*x + 1, 7), (x^6 + 1903*x^5 + 2*x^4 + 1902*x^3 + 2*x^2 + 1903*x + 1, 7)]",False
13,3631,7,6,"[(x^6 + 1231*x^5 + 2*x^4 + 1230*x^3 + 2*x^2 + 1231*x + 1, 7), (x^6 + 2401*x^5 + 2*x^4 + 2400*x^3 + 2*x^2 + 2401*x + 1, 7)]",False
13,3637,7,6,"[(x^6 + 1081*x^5 + 2*x^4 + 1080*x^3 + 2*x^2 + 1081*x + 1, 7), (x^6 + 2557*x^5 + 2*x^4 + 2556*x^3 + 2*x^2 + 2557*x + 1, 7)]",False
13,3709,7,6,"[(x^6 + 106*x^5 + 2*x^4 + 105*x^3 + 2*x^2 + 106*x + 1, 7), (x^6 + 3604*x^5 + 2*x^4 + 3603*x^3 + 2*x^2 + 3604*x + 1, 7)]",False
13,3761,7,6,"[(x^6 + 1403*x^5 + 2*x^4 + 1402*x^3 + 2*x^2 + 1403*x + 1, 7), (x^6 + 2359*x^5 + 2*x^4 + 2358*x^3 + 2*x^2 + 2359*x + 1, 7)]",False
13,3767,7,6,"[(x^6 + 1022*x^5 + 2*x^4 + 1021*x^3 + 2*x^2 + 1022*x + 1, 7), (x^6 + 2746*x^5 + 2*x^4 + 2745*x^3 + 2*x^2 + 2746*x + 1, 7)]",False
13,3793,7,6,"[(x^6 + 700*x^5 + 2*x^4 + 699*x^3 + 2*x^2 + 700*x + 1, 7), (x^6 + 3094*x^5 + 2*x^4 + 3093*x^3 + 2*x^2 + 3094*x + 1, 7)]",False
