p-th Cyclo pol,qMin = #elements in `sparsest field`,sparsity,ord_p(qMin),sparsity <= ord_p(qMin)?
3889,3,45,81,True
3907,13,497,558,True
3911,29,15,17,True
3917,7,137,178,True
3919,7,551,653,True
3923,3,1313,1961,True
3929,17,458,491,True
3931,23,120,131,True
3943,2,101,219,True
3947,3,1340,1973,True
3967,19,623,661,True
3989,29,961,997,True
4001,11,138,160,True
4003,13,586,667,True
4007,2,1047,2003,True
4013,7,863,1003,True
4019,3,27,49,True
4021,7,10,20,True
4027,13,54,61,True
4049,13,153,176,True
4051,2,17,50,True
4057,2,67,169,True
4073,19,471,509,True
4079,2,999,2039,True
4091,7,344,409,True
4093,17,27,31,True
4099,3,891,1366,True
4111,11,370,411,True
4127,2,1035,2063,True
4129,3,79,129,True
4133,13,946,1033,True
4139,3,1391,2069,True
4153,2,153,346,True
4157,13,955,1039,True
4159,5,17,27,True
4177,2,35,87,True
4201,5,25,35,True
4211,2,369,842,True
4217,7,206,248,True
4219,5,562,703,True
4229,7,918,1057,True
4231,5,179,235,True
4241,19,391,424,True
4243,5,1110,1414,True
4253,7,913,1063,True
4259,3,1433,2129,True
4261,5,97,142,True
4271,2,137,305,True
4273,2,251,534,True
4283,3,1403,2141,True
4289,2,499,1072,True
4297,19,17,24,True
4327,29,296,309,True
4337,11,236,271,True
4339,3,309,482,True
4349,5,862,1087,True
4357,19,113,121,True
4363,11,654,727,True
4373,17,1033,1093,True
4391,13,401,439,True
4397,7,131,157,True
4409,19,101,116,True
4421,2,151,340,True
4423,2,367,737,True
4441,13,105,120,True
4447,13,221,247,True
4451,19,823,890,True
4457,29,535,557,True
4463,2,1131,2231,True
4481,2,241,560,True
4483,7,624,747,True
4493,11,1021,1123,True
4507,7,634,751,True
4513,2,17,47,True
4517,29,1083,1129,True
4519,2,373,753,True
4523,2,123,266,True
4547,3,1520,2273,True
4549,29,363,379,True
4561,3,7,15,True
4567,2,369,761,True
4583,2,1163,2291,True
4591,23,23,27,True
4597,2,735,1532,True
4603,13,34,39,True
4621,13,69,84,True
4637,17,1089,1159,True
4639,5,611,773,True
4643,2,197,422,True
4649,5,259,332,True
4651,13,13,15,True
4657,19,41,48,True
4663,13,236,259,True
4673,17,267,292,True
4679,2,1159,2339,True
