p-th Cyclo pol,#F_q (pol factored over F_q),sparsity,ord_p(q),Factors,sparsity <= ord_p(q)?
11,719,6,5,"[(x^5 + 283*x^4 + 718*x^3 + x^2 + 282*x + 718, 6), (x^5 + 437*x^4 + 718*x^3 + x^2 + 436*x + 718, 6)]",False
11,751,6,5,"[(x^5 + 200*x^4 + 750*x^3 + x^2 + 199*x + 750, 6), (x^5 + 552*x^4 + 750*x^3 + x^2 + 551*x + 750, 6)]",False
11,757,6,5,"[(x^5 + 62*x^4 + 756*x^3 + x^2 + 61*x + 756, 6), (x^5 + 696*x^4 + 756*x^3 + x^2 + 695*x + 756, 6)]",False
11,773,6,5,"[(x^5 + 187*x^4 + 772*x^3 + x^2 + 186*x + 772, 6), (x^5 + 587*x^4 + 772*x^3 + x^2 + 586*x + 772, 6)]",False
11,797,6,5,"[(x^5 + 235*x^4 + 796*x^3 + x^2 + 234*x + 796, 6), (x^5 + 563*x^4 + 796*x^3 + x^2 + 562*x + 796, 6)]",False
11,823,6,5,"[(x^5 + 369*x^4 + 822*x^3 + x^2 + 368*x + 822, 6), (x^5 + 455*x^4 + 822*x^3 + x^2 + 454*x + 822, 6)]",False
11,829,6,5,"[(x^5 + 112*x^4 + 828*x^3 + x^2 + 111*x + 828, 6), (x^5 + 718*x^4 + 828*x^3 + x^2 + 717*x + 828, 6)]",False
11,839,6,5,"[(x^5 + 151*x^4 + 838*x^3 + x^2 + 150*x + 838, 6), (x^5 + 689*x^4 + 838*x^3 + x^2 + 688*x + 838, 6)]",False
11,863,6,5,"[(x^5 + 310*x^4 + 862*x^3 + x^2 + 309*x + 862, 6), (x^5 + 554*x^4 + 862*x^3 + x^2 + 553*x + 862, 6)]",False
11,883,6,5,"[(x^5 + 143*x^4 + 882*x^3 + x^2 + 142*x + 882, 6), (x^5 + 741*x^4 + 882*x^3 + x^2 + 740*x + 882, 6)]",False
11,907,6,5,"[(x^5 + 353*x^4 + 906*x^3 + x^2 + 352*x + 906, 6), (x^5 + 555*x^4 + 906*x^3 + x^2 + 554*x + 906, 6)]",False
