p-th Cyclo pol,qMin = #elements in `sparsest field`,sparsity,ord_p(qMin),sparsity <= ord_p(qMin)?
613,17,142,153,True
613,19,47,51,True
613,23,195,204,True
613,29,289,306,True
617,2,63,154,True
617,7,257,308,True
617,11,260,308,True
617,19,281,308,True
617,29,83,88,True
619,3,137,206,True
619,5,261,309,True
619,7,268,309,True
619,13,187,206,True
619,17,187,206,True
619,23,296,309,True
619,29,191,206,True
631,2,23,45,True
631,5,27,35,True
631,11,75,90,True
631,17,299,315,True
631,23,308,315,True
631,29,300,315,True
641,2,25,64,True
641,5,41,64,True
641,7,273,320,True
641,11,141,160,True
641,13,17,20,True
641,29,123,128,True
643,2,99,214,True
643,3,135,214,True
643,5,153,214,True
643,7,280,321,True
643,23,310,321,True
643,29,310,321,True
647,2,159,323,True
647,3,218,323,True
647,7,280,323,True
647,13,295,323,True
647,17,305,323,True
647,29,306,323,True
653,7,141,163,True
653,11,296,326,True
653,13,303,326,True
653,19,156,163,True
653,23,309,326,True
659,3,206,329,True
659,5,262,329,True
659,11,297,329,True
659,13,301,329,True
659,17,309,329,True
659,19,308,329,True
659,23,319,329,True
661,3,7,22,True
661,5,250,330,True
661,7,32,44,True
661,11,27,33,True
661,13,193,220,True
661,17,305,330,True
661,19,205,220,True
661,29,61,66,True
673,2,15,48,True
673,3,98,168,True
673,7,87,112,True
673,13,75,84,True
673,23,12,14,True
673,29,43,48,True
677,13,156,169,True
683,2,9,22,True
683,3,16,31,True
683,19,330,341,True
683,29,326,341,True
691,2,113,230,True
691,5,89,115,True
691,7,303,345,True
691,11,123,138,True
691,19,41,46,True
691,23,131,138,True
691,29,333,345,True
701,5,273,350,True
701,7,147,175,True
701,13,20,25,True
701,17,61,70,True
701,19,6,7,True
701,23,131,140,True
701,29,171,175,True
709,3,112,177,True
709,5,281,354,True
709,7,151,177,True
709,11,317,354,True
709,13,213,236,True
709,19,168,177,True
709,29,167,177,True
719,2,195,359,True
719,3,227,359,True
719,5,270,359,True
719,7,300,359,True
719,13,330,359,True
719,29,341,359,True
727,2,53,121,True
727,3,153,242,True
727,7,308,363,True
727,11,220,242,True
727,13,328,363,True
727,17,340,363,True
727,23,114,121,True
727,29,65,66,True
733,2,105,244,True
733,3,124,183,True
733,5,191,244,True
733,11,215,244,True
733,17,351,366,True
733,19,115,122,True
733,29,229,244,True
739,2,123,246,True
739,5,86,123,True
739,11,334,369,True
739,13,217,246,True
739,17,357,369,True
743,2,187,371,True
743,3,242,371,True
743,11,336,371,True
743,19,355,371,True
743,23,354,371,True
751,2,199,375,True
751,5,296,375,True
751,7,210,250,True
751,11,134,150,True
751,13,347,375,True
751,19,357,375,True
751,23,345,375,True
757,3,4,9,True
757,7,155,189,True
757,11,168,189,True
757,13,172,189,True
757,17,174,189,True
757,19,341,378,True
757,23,99,108,True
757,29,33,36,True
761,2,187,380,True
761,3,94,152,True
761,5,24,38,True
761,13,137,152,True
761,17,363,380,True
761,19,357,380,True
761,23,65,76,True
761,29,365,380,True
769,2,191,384,True
769,3,24,48,True
769,5,94,128,True
769,7,219,256,True
769,17,118,128,True
769,19,6,12,True
773,11,345,386,True
773,17,179,193,True
787,3,163,262,True
787,7,341,393,True
787,11,353,393,True
787,19,377,393,True
787,23,375,393,True
787,29,383,393,True
797,11,182,199,True
797,13,186,199,True
797,17,377,398,True
809,2,189,404,True
809,5,299,404,True
809,7,86,101,True
809,13,366,404,True
809,19,191,202,True
809,23,387,404,True
811,2,131,270,True
811,5,332,405,True
811,7,21,27,True
811,11,358,405,True
811,17,149,162,True
811,19,124,135,True
811,29,132,135,True
821,5,322,410,True
821,7,359,410,True
821,19,191,205,True
821,23,399,410,True
821,29,194,205,True
823,2,223,411,True
823,5,205,274,True
823,11,251,274,True
823,13,378,411,True
823,19,258,274,True
823,29,255,274,True
827,3,278,413,True
827,5,85,118,True
827,11,368,413,True
827,19,391,413,True
827,23,400,413,True
829,3,142,207,True
829,5,5,9,True
829,7,231,276,True
829,11,19,23,True
829,13,375,414,True
829,17,196,207,True
829,23,200,207,True
829,29,86,92,True
839,2,203,419,True
839,3,266,419,True
839,5,343,419,True
839,7,344,419,True
839,19,404,419,True
839,23,399,419,True
853,3,87,142,True
853,5,219,284,True
853,7,246,284,True
853,13,259,284,True
853,19,393,426,True
853,23,409,426,True
857,2,207,428,True
857,13,397,428,True
857,23,203,214,True
857,29,405,428,True
859,5,343,429,True
859,7,371,429,True
859,11,257,286,True
859,13,9,11,True
859,17,408,429,True
859,19,56,66,True
859,23,73,78,True
863,2,203,431,True
863,3,299,431,True
863,17,399,431,True
863,19,408,431,True
863,29,417,431,True
877,3,282,438,True
877,7,183,219,True
877,11,252,292,True
877,17,277,292,True
877,23,205,219,True
877,29,139,146,True
881,2,25,55,True
881,5,347,440,True
881,7,63,80,True
881,11,381,440,True
881,13,405,440,True
881,19,415,440,True
881,29,169,176,True
883,3,76,126,True
883,5,89,126,True
883,7,79,98,True
883,13,411,441,True
883,17,46,49,True
883,29,426,441,True
887,2,215,443,True
887,3,281,443,True
887,7,366,443,True
887,11,410,443,True
887,13,408,443,True
887,19,411,443,True
907,11,276,302,True
907,13,418,453,True
907,19,139,151,True
907,23,145,151,True
911,2,45,91,True
911,3,299,455,True
911,5,354,455,True
911,7,5,14,True
911,11,17,26,True
911,13,413,455,True
911,19,5,5,True
911,23,62,65,True
919,2,75,153,True
919,3,179,306,True
919,5,371,459,True
919,11,411,459,True
919,13,138,153,True
919,17,140,153,True
919,23,440,459,True
919,29,149,153,True
929,2,237,464,True
929,5,169,232,True
